Agent Name,Address,Phone,Email,Reason for Selection,State/Region
Sprouts Academy,"Gregory Hills, NSW 2557 (exact street address not published)",0439 446 202,"Not published - see https://sproutsacademy.com.au/naplan-tutoring-sydney/ (chat/WhatsApp contact)","Dedicated NAPLAN tutoring page for the Sydney SW growth corridor (Oran Park, Narellan, Leppington); small independent operator likely without existing digital practice-test infrastructure - good candidate for a licensed portal.",NSW - Greater Sydney
Matrix Education - Chatswood Campus,"Level 5, Tower A, 799 Pacific Hwy, Chatswood NSW 2067",1300 008 008,info@matrix.edu.au,"Large multi-campus tutoring company (7 Sydney campuses) with existing NAPLAN guides/content; a bulk/white-label licensing deal across campuses would be high-value.",NSW - Greater Sydney
Matrix Education - Parramatta Campus,"1 Fitzwilliam St, Parramatta NSW 2150",1300 008 008,info@matrix.edu.au,"Separate physical branch of the same network - shows geographic reach into Western Sydney for a rollout pitch alongside the Chatswood campus.",NSW - Greater Sydney
Chalkwall,"57-59 Queen Street, Auburn NSW 2144",(02) 8017 0300,"Not published - see https://chalkwall.com.au/contact/ (phone/callback form only)","Runs explicit 'NAPLAN Course' intensives (Years 3/5/7/9) with numeracy/literacy workshops - a direct-fit buyer for practice-exam digital content.",NSW - Greater Sydney
MWNS (Maths Words Not Squiggles) - Rosebery Tutoring Centre,"351 Gardeners Road, Rosebery NSW 2018",(02) 9697 9999,"rosebery@mwns.com.au (general: admin@mwns.com.au)","Multi-centre Sydney network with a dedicated NAPLAN tutoring service line - strong bulk-license prospect across centres.",NSW - Greater Sydney
Dymocks Tutoring - Burwood Learning Hub,"Level 1, Shop 11, 11-15 Deane Street, Burwood NSW 2134",1300 33 77 88,"Not published - see https://www.dymockstutoring.edu.au/locations/burwood-learning-hub/","National bookstore-affiliated tutoring franchise offering Years 3/5/7/9 NAPLAN prep; brand already sells physical study material, making it a natural reseller/affiliate fit for a digital portal.",NSW - Greater Sydney
Global Education Academy - Kogarah,"1/53-55 Montgomery Street, Kogarah NSW 2217",1300 001 432,enquiries@globaleducationacademy.com.au,"Has a dedicated NAPLAN tutoring course page and multiple St George-area classes - likely doing in-person paper-based practice tests today.",NSW - Greater Sydney
Global Education Academy - Turramurra,"4 William Street, Turramurra NSW 2074",1300 001 432,enquiries@globaleducationacademy.com.au,"Second branch of the same NAPLAN-focused operator, extends reach into the Upper North Shore - good for a two-location bulk deal.",NSW - Greater Sydney
NextStepAcademy,"Sydney-wide in-home/online tutoring model - no fixed shopfront address published",0406 499 240,info@nextstepacademy.com.au,"Has dedicated NAPLAN landing pages per Sydney suburb; an in-home tutoring model with no centre infrastructure means a ready-made online portal would fill a real gap.",NSW - Greater Sydney
North Shore Coaching College - Chatswood (Principal Campus),"North Shore House, 65 Archer Street, Chatswood NSW 2067",(02) 9415 1860,"Not published - see https://www.north-shore.com.au/contact/","Selective-school/OC coaching college with multiple NSW campuses - often wants practice-test banks that mimic NAPLAN-style numeracy/literacy formats.",NSW - Greater Sydney
Art of Smart Education,"Suite 65, Level 33, Australia Square, 264 George St, Sydney NSW 2000",1300 267 888,"Not published - see https://artofsmart.com.au/contact-us/","Runs a named 'NAPLAN Ninjas' tutoring program for Years 3/5 - already selling structured NAPLAN content, so likely receptive to licensing a ready-built practice platform.",NSW - Greater Sydney
Cluey Learning,"Level 8, 51 Pitt Street, Sydney NSW 2000",1300 182 000,support@clueylearning.com,"VC-backed online tutoring company already running dedicated primary NAPLAN test-prep pages - sophisticated buyer that could be an affiliate/reseller partner.",NSW - Greater Sydney
MBH Coaching College,"80-82 Anderson Ave, Panania NSW 2213",0451 168 266,kenneth@mbhcoaching.com.au,"Long-running South-West Sydney coaching college offering NAPLAN prep alongside OC/HSC coaching - direct owner email makes outreach easy.",NSW - Greater Sydney
Alchemy Tuition,"1 Farrer Place, Sydney CBD NSW 2000",1300 914 329,info@alchemytuition.com.au,"Markets itself as 'Voted #1' NAPLAN tutoring using one-on-one home tutors - no physical centre model, so a digital practice portal would slot directly into their service.",NSW - Greater Sydney
EDUCO Tutoring - Homebush West,"2 Henley Rd, Homebush West NSW 2140",0432 524 138,"Not published - see https://www.edu-co.com.au/homebush-west","Runs dedicated 'NAPLAN Classes' at a purpose-built campus - likely still using printed/worksheet-based prep.",NSW - Greater Sydney
EDUCO Tutoring - Edmondson Park,"Shop A111, 52 Soldiers Parade, Edmondson Park NSW 2174",0432 524 138,"Not published - see https://www.edu-co.com.au/","Second campus of the same NAPLAN-course provider in the growing South-West corridor - a two-campus bulk deal is plausible.",NSW - Greater Sydney
Kumon Epping Education Centre (Langston Place),"32 Langston Place, Epping NSW 2121",+61 435 151 370,"Not published - see kumonsearch.com.au","Franchise centre of a globally recognised maths/English brand; individual franchisees often buy supplementary digital material independently of head office.",NSW - Greater Sydney
James An College - Hurstville,"2 Humphreys Lane, Hurstville NSW 2220",+61 2 9585 0888,"Not published - see https://jamesancollege.com/contactus/","Selective-school/OC/NAPLAN coaching franchise; offers NAPLAN practice tests as part of its curriculum, meaning it already values standardized practice-test content.",NSW - Greater Sydney
James An College - Eastwood,"Suite 3a/14 Glen Street, Eastwood NSW 2122",(02) 9874 5888,"Not published - see https://jamesancollege.com/contactus/","Second branch of the same coaching franchise in a different high-density tutoring market (Eastwood/Ryde).",NSW - Greater Sydney
Success Tutoring (Head Office / Hornsby),"Suite 503, Level 5, 276 Pitt Street, Sydney NSW 2000; also Unit 1/1 Ashley St, Hornsby NSW 2077","Not published - see https://successtutoring.com.au/contact-success-tutoring","Not published - see contact form","National tutoring franchise with a dedicated NAPLAN tutoring product line and franchise-development arm - candidate for a network-wide reseller deal.",NSW - Greater Sydney
NumberWorks'nWords Eastgardens,"Westfield Office Tower, Suite 504-505, Level 5, 152 Bunnerong Rd, Eastgardens NSW 2036",(02) 9349 3223,eastgardens@numberworks.com,"Franchise centre running paid after-school maths/English programs - a natural buyer of ready-made NAPLAN-style digital practice content.",NSW - Greater Sydney
NumberWorks'nWords Bondi Junction,"Suite 12, Level 1, 175 Oxford St, Bondi Junction NSW 2022",(02) 9387 1215,bondi@numberworks.com,"Same franchise model, Eastern Suburbs catchment distinct from other branches on this list.",NSW - Greater Sydney
